"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|BE","Without sequence","40.8","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|BE","Without sequence","62.56","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|BE","Without sequence","67.39","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|BE","Without sequence","62.92","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|BE","Without sequence","58.84","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|BE","Without sequence","55.94","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|BE","Without sequence","56.18","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|BE","Without sequence","60.91","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|BE","Without sequence","68.72","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|BE","Without sequence","71.56","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|BE","Without sequence","85.72","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|BE","Without sequence","92.38","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|BE","Without sequence","86.07","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|BE","Without sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|BE","Without sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|BE","Without sequence","65.0","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|BE","Without sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|BE","Without sequence","57.3","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|BE","Without sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|BE","Without sequence","40.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|BE","Without sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|BE","Without sequence","35.0","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|BE","Without sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|BE","Without sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|BE","Without sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|BE","Without sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|BE","Without sequence","94.2","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|BE","Without sequence","91.59","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|BE","Without sequence","90.0","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|BE","Without sequence","86.26","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|BE","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|BE","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|BE","Without sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|BE","Without sequence","101.93","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|BE","Without sequence","121.22","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|BE","Without sequence","129.28","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|BE","Without sequence","110.95","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|BE","Without sequence","96.94","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|BE","Without sequence","88.5","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|BE","Without sequence","85.07","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|BE","Without sequence","87.67","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|BE","Without sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|BE","Without sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|BE","Without sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|BE","Without sequence","71.7","",""
