"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BE","BZN|FR","892.90"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|DE-LU","1419.89"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|ES","2502.66"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|GB","1457.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|GB(ElecLink)","1024.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BE","BZN|FR","1508.30"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|DE-LU","1094.49"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|ES","2547.92"
