"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","79.58","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","78.41","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","78.78","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","76.9","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","89.85","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","110.73","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","108.33","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","132.22","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","135.53","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","125.94","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","99.82","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","97.35","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","97.82","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","85.83","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","85.83","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","100.0","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","108.61","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","99.14","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","91.36","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","91.36","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","90.66","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","81.0","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","81.28","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","82.33","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","79.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","75.72","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","75.72","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","74.0","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","78.78","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","87.34","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","90.0","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","95.66","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","105.27","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","110.56","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","120.0","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","122.53","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","128.39","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","139.3","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","178.0","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","196.96","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","176.55","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","150.77","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","125.0","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","106.13","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","90.04","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","97.61","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","96.53","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","94.14","",""
