"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"29/01/2024 11:00:00 - 29/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","165.36","",""
"29/01/2024 12:00:00 - 29/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","152.0","",""
"29/01/2024 13:00:00 - 29/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","144.0","",""
"29/01/2024 14:00:00 - 29/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","126.39","",""
"29/01/2024 15:00:00 - 29/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","116.1","",""
"29/01/2024 16:00:00 - 29/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","125.22","",""
"29/01/2024 17:00:00 - 29/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","139.7","",""
"29/01/2024 18:00:00 - 29/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","152.77","",""
"29/01/2024 19:00:00 - 29/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","136.17","",""
"29/01/2024 20:00:00 - 29/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","119.2","",""
"29/01/2024 21:00:00 - 29/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","102.73","",""
"29/01/2024 22:00:00 - 29/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","95.29","",""
"29/01/2024 23:00:00 - 30/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","82.58","",""
"31/01/2024 00:00:00 - 31/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","75.38","",""
"31/01/2024 01:00:00 - 31/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","71.82","",""
"31/01/2024 02:00:00 - 31/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","70.57","",""
"31/01/2024 03:00:00 - 31/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","67.06","",""
"31/01/2024 04:00:00 - 31/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","63.51","",""
"31/01/2024 05:00:00 - 31/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","59.08","",""
"31/01/2024 06:00:00 - 31/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","58.58","",""
"31/01/2024 07:00:00 - 31/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","63.02","",""
"31/01/2024 08:00:00 - 31/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","85.0","",""
"31/01/2024 09:00:00 - 31/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","82.27","",""
"31/01/2024 10:00:00 - 31/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","80.72","",""
"31/01/2024 11:00:00 - 31/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","71.81","",""
"31/01/2024 12:00:00 - 31/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","70.0","",""
"31/01/2024 13:00:00 - 31/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","65.84","",""
"31/01/2024 14:00:00 - 31/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","65.0","",""
"31/01/2024 15:00:00 - 31/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","67.26","",""
"31/01/2024 16:00:00 - 31/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","73.37","",""
"31/01/2024 17:00:00 - 31/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","84.36","",""
"31/01/2024 18:00:00 - 31/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","104.85","",""
"31/01/2024 19:00:00 - 31/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","111.92","",""
"31/01/2024 20:00:00 - 31/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","117.42","",""
"31/01/2024 21:00:00 - 31/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","129.0","",""
"31/01/2024 22:00:00 - 31/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","115.82","",""
"31/01/2024 23:00:00 - 01/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","89.69","",""
"01/02/2024 00:00:00 - 01/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","79.48","",""
"01/02/2024 01:00:00 - 01/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","79.48","",""
"01/02/2024 02:00:00 - 01/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","77.91","",""
"01/02/2024 03:00:00 - 01/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","77.4","",""
"01/02/2024 04:00:00 - 01/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","79.48","",""
"01/02/2024 05:00:00 - 01/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","77.22","",""
"01/02/2024 06:00:00 - 01/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","79.84","",""
"01/02/2024 07:00:00 - 01/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","88.78","",""
"01/02/2024 08:00:00 - 01/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","148.61","",""
"01/02/2024 09:00:00 - 01/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","155.0","",""
"01/02/2024 10:00:00 - 01/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","142.6","",""
"01/02/2024 11:00:00 - 01/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","119.96","",""
"01/02/2024 12:00:00 - 01/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","92.03","",""
"01/02/2024 13:00:00 - 01/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","84.0","",""
"01/02/2024 14:00:00 - 01/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","78.39","",""
"01/02/2024 15:00:00 - 01/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","80.03","",""
"01/02/2024 16:00:00 - 01/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","83.7","",""
"01/02/2024 17:00:00 - 01/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","91.73","",""
"01/02/2024 18:00:00 - 01/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","101.15","",""
"01/02/2024 19:00:00 - 01/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","99.0","",""
"01/02/2024 20:00:00 - 01/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","91.0","",""
"01/02/2024 21:00:00 - 01/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","82.0","",""
"01/02/2024 22:00:00 - 01/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","82.54","",""
"01/02/2024 23:00:00 - 02/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","70.04","",""
"02/02/2024 00:00:00 - 02/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","61.0","",""
"02/02/2024 01:00:00 - 02/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","55.0","",""
"02/02/2024 02:00:00 - 02/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","48.0","",""
"02/02/2024 03:00:00 - 02/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","46.3","",""
"02/02/2024 04:00:00 - 02/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","43.3","",""
"02/02/2024 05:00:00 - 02/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","41.87","",""
"02/02/2024 06:00:00 - 02/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","40.6","",""
"02/02/2024 07:00:00 - 02/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","60.1","",""
"02/02/2024 08:00:00 - 02/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","86.08","",""
"02/02/2024 09:00:00 - 02/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","89.19","",""
"02/02/2024 10:00:00 - 02/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","90.0","",""
"02/02/2024 11:00:00 - 02/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","84.3","",""
"02/02/2024 12:00:00 - 02/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","76.0","",""
"02/02/2024 13:00:00 - 02/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","74.0","",""
"02/02/2024 14:00:00 - 02/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","69.0","",""
"02/02/2024 15:00:00 - 02/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","66.22","",""
"02/02/2024 16:00:00 - 02/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","66.22","",""
"02/02/2024 17:00:00 - 02/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","80.0","",""
"02/02/2024 18:00:00 - 02/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","94.0","",""
"02/02/2024 19:00:00 - 02/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","95.5","",""
"02/02/2024 20:00:00 - 02/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","87.41","",""
"02/02/2024 21:00:00 - 02/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","74.0","",""
"02/02/2024 22:00:00 - 02/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","66.22","",""
"02/02/2024 23:00:00 - 03/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","52.01","",""
"03/02/2024 00:00:00 - 03/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","44.42","",""
"03/02/2024 01:00:00 - 03/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","55.0","",""
"03/02/2024 02:00:00 - 03/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","52.11","",""
"03/02/2024 03:00:00 - 03/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","52.71","",""
"03/02/2024 04:00:00 - 03/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","50.71","",""
"03/02/2024 05:00:00 - 03/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","54.44","",""
"03/02/2024 06:00:00 - 03/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","51.42","",""
"03/02/2024 07:00:00 - 03/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","76.0","",""
"03/02/2024 08:00:00 - 03/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","83.33","",""
"03/02/2024 09:00:00 - 03/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","94.44","",""
"03/02/2024 10:00:00 - 03/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","117.14","",""
"03/02/2024 11:00:00 - 03/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","108.86","",""
"03/02/2024 12:00:00 - 03/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","105.3","",""
"03/02/2024 13:00:00 - 03/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","94.3","",""
"03/02/2024 14:00:00 - 03/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","73.88","",""
"03/02/2024 15:00:00 - 03/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","69.59","",""
"03/02/2024 16:00:00 - 03/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","82.9","",""
"03/02/2024 17:00:00 - 03/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","99.0","",""
"03/02/2024 18:00:00 - 03/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","129.01","",""
"03/02/2024 19:00:00 - 03/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","135.0","",""
"03/02/2024 20:00:00 - 03/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","95.55","",""
"03/02/2024 21:00:00 - 03/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","76.11","",""
"03/02/2024 22:00:00 - 03/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","68.35","",""
"03/02/2024 23:00:00 - 04/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","53.98","",""
"04/02/2024 00:00:00 - 04/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","55.0","",""
"04/02/2024 01:00:00 - 04/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","23.74","",""
"04/02/2024 02:00:00 - 04/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","16.79","",""
"04/02/2024 03:00:00 - 04/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","11.07","",""
"04/02/2024 04:00:00 - 04/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","5.0","",""
"04/02/2024 05:00:00 - 04/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","2.03","",""
"04/02/2024 06:00:00 - 04/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","1.0","",""
"04/02/2024 07:00:00 - 04/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","6.32","",""
"04/02/2024 08:00:00 - 04/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","10.0","",""
"04/02/2024 09:00:00 - 04/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","18.0","",""
"04/02/2024 10:00:00 - 04/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","29.0","",""
"04/02/2024 11:00:00 - 04/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","36.64","",""
"04/02/2024 12:00:00 - 04/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","45.74","",""
"04/02/2024 13:00:00 - 04/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","45.0","",""
"04/02/2024 14:00:00 - 04/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","42.0","",""
"04/02/2024 15:00:00 - 04/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","45.0","",""
"04/02/2024 16:00:00 - 04/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","49.59","",""
"04/02/2024 17:00:00 - 04/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","68.02","",""
"04/02/2024 18:00:00 - 04/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","90.17","",""
"04/02/2024 19:00:00 - 04/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","94.52","",""
"04/02/2024 20:00:00 - 04/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","78.39","",""
"04/02/2024 21:00:00 - 04/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","65.34","",""
"04/02/2024 22:00:00 - 04/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","55.21","",""
"04/02/2024 23:00:00 - 05/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","33.3","",""
"05/02/2024 00:00:00 - 05/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","17.75","",""
"05/02/2024 01:00:00 - 05/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","12.9","",""
"05/02/2024 02:00:00 - 05/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","12.76","",""
"05/02/2024 03:00:00 - 05/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","8.67","",""
"05/02/2024 04:00:00 - 05/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","7.09","",""
"05/02/2024 05:00:00 - 05/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","12.0","",""
"05/02/2024 06:00:00 - 05/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","34.13","",""
"05/02/2024 07:00:00 - 05/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","58.63","",""
"05/02/2024 08:00:00 - 05/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","78.31","",""
"05/02/2024 09:00:00 - 05/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","84.66","",""
"05/02/2024 10:00:00 - 05/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","83.0","",""
"05/02/2024 11:00:00 - 05/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","77.31","",""
"05/02/2024 12:00:00 - 05/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","74.13","",""
"05/02/2024 13:00:00 - 05/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","73.72","",""
"05/02/2024 14:00:00 - 05/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","71.0","",""
"05/02/2024 15:00:00 - 05/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","66.02","",""
"05/02/2024 16:00:00 - 05/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","71.84","",""
"05/02/2024 17:00:00 - 05/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","84.2","",""
"05/02/2024 18:00:00 - 05/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","94.16","",""
"05/02/2024 19:00:00 - 05/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","94.0","",""
"05/02/2024 20:00:00 - 05/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","84.01","",""
"05/02/2024 21:00:00 - 05/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","72.42","",""
"05/02/2024 22:00:00 - 05/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","58.0","",""
"05/02/2024 23:00:00 - 06/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","42.0","",""
"06/02/2024 00:00:00 - 06/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","26.89","",""
"06/02/2024 01:00:00 - 06/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","22.5","",""
"06/02/2024 02:00:00 - 06/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","18.01","",""
"06/02/2024 03:00:00 - 06/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","14.0","",""
"06/02/2024 04:00:00 - 06/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","12.5","",""
"06/02/2024 05:00:00 - 06/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","19.49","",""
"06/02/2024 06:00:00 - 06/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","40.14","",""
"06/02/2024 07:00:00 - 06/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","76.0","",""
"06/02/2024 08:00:00 - 06/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","98.9","",""
"06/02/2024 09:00:00 - 06/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","96.05","",""
"06/02/2024 10:00:00 - 06/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","95.43","",""
"06/02/2024 11:00:00 - 06/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","80.82","",""
"06/02/2024 12:00:00 - 06/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","81.56","",""
"06/02/2024 13:00:00 - 06/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","87.15","",""
"06/02/2024 14:00:00 - 06/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","92.03","",""
"06/02/2024 15:00:00 - 06/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","94.0","",""
"06/02/2024 16:00:00 - 06/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","103.4","",""
"06/02/2024 17:00:00 - 06/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","123.14","",""
"06/02/2024 18:00:00 - 06/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","162.95","",""
"06/02/2024 19:00:00 - 06/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","177.66","",""
"06/02/2024 20:00:00 - 06/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","160.0","",""
"06/02/2024 21:00:00 - 06/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","148.0","",""
"06/02/2024 22:00:00 - 06/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","125.0","",""
"06/02/2024 23:00:00 - 07/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","103.69","",""
"07/02/2024 00:00:00 - 07/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","106.83","",""
"07/02/2024 01:00:00 - 07/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","100.67","",""
"07/02/2024 02:00:00 - 07/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","99.82","",""
"07/02/2024 03:00:00 - 07/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","93.41","",""
"07/02/2024 04:00:00 - 07/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","83.95","",""
"07/02/2024 05:00:00 - 07/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","81.97","",""
"07/02/2024 06:00:00 - 07/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","80.91","",""
"07/02/2024 07:00:00 - 07/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","97.29","",""
"07/02/2024 08:00:00 - 07/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","162.64","",""
"07/02/2024 09:00:00 - 07/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","201.98","",""
"07/02/2024 10:00:00 - 07/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","216.2","",""
"07/02/2024 11:00:00 - 07/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","244.65","",""
"07/02/2024 12:00:00 - 07/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","240.0","",""
"07/02/2024 13:00:00 - 07/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","224.8","",""
"07/02/2024 14:00:00 - 07/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","194.4","",""
"07/02/2024 15:00:00 - 07/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","185.92","",""
"07/02/2024 16:00:00 - 07/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","193.02","",""
"07/02/2024 17:00:00 - 07/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","216.8","",""
"07/02/2024 18:00:00 - 07/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","212.0","",""
"07/02/2024 19:00:00 - 07/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","193.5","",""
"07/02/2024 20:00:00 - 07/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","145.0","",""
"07/02/2024 21:00:00 - 07/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","100.0","",""
"07/02/2024 22:00:00 - 07/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","87.02","",""
"07/02/2024 23:00:00 - 08/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","85.1","",""
"08/02/2024 00:00:00 - 08/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","84.0","",""
"08/02/2024 01:00:00 - 08/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","80.0","",""
"08/02/2024 02:00:00 - 08/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","76.79","",""
"08/02/2024 03:00:00 - 08/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","70.89","",""
"08/02/2024 04:00:00 - 08/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","65.46","",""
"08/02/2024 05:00:00 - 08/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","65.08","",""
"08/02/2024 06:00:00 - 08/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","61.2","",""
"08/02/2024 07:00:00 - 08/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","76.79","",""
"08/02/2024 08:00:00 - 08/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","91.8","",""
"08/02/2024 09:00:00 - 08/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","92.99","",""
"08/02/2024 10:00:00 - 08/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","98.95","",""
"08/02/2024 11:00:00 - 08/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","91.4","",""
"08/02/2024 12:00:00 - 08/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","88.21","",""
"08/02/2024 13:00:00 - 08/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","92.04","",""
"08/02/2024 14:00:00 - 08/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","88.25","",""
"08/02/2024 15:00:00 - 08/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","86.18","",""
"08/02/2024 16:00:00 - 08/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","87.08","",""
"08/02/2024 17:00:00 - 08/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","91.65","",""
"08/02/2024 18:00:00 - 08/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","105.0","",""
"08/02/2024 19:00:00 - 08/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","107.05","",""
"08/02/2024 20:00:00 - 08/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","95.55","",""
"08/02/2024 21:00:00 - 08/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","87.45","",""
"08/02/2024 22:00:00 - 08/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","90.89","",""
"08/02/2024 23:00:00 - 09/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","71.95","",""
"09/02/2024 00:00:00 - 09/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","73.13","",""
"09/02/2024 01:00:00 - 09/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","71.68","",""
"09/02/2024 02:00:00 - 09/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","65.54","",""
"09/02/2024 03:00:00 - 09/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","63.83","",""
"09/02/2024 04:00:00 - 09/02/2024 05:00:00","BZN|IE(SEM)","Without sequence","68.09","",""
"09/02/2024 05:00:00 - 09/02/2024 06:00:00","BZN|IE(SEM)","Without sequence","61.2","",""
"09/02/2024 06:00:00 - 09/02/2024 07:00:00","BZN|IE(SEM)","Without sequence","70.09","",""
"09/02/2024 07:00:00 - 09/02/2024 08:00:00","BZN|IE(SEM)","Without sequence","90.84","",""
"09/02/2024 08:00:00 - 09/02/2024 09:00:00","BZN|IE(SEM)","Without sequence","89.0","",""
"09/02/2024 09:00:00 - 09/02/2024 10:00:00","BZN|IE(SEM)","Without sequence","100.36","",""
"09/02/2024 10:00:00 - 09/02/2024 11:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"09/02/2024 11:00:00 - 09/02/2024 12:00:00","BZN|IE(SEM)","Without sequence","100.36","",""
"09/02/2024 12:00:00 - 09/02/2024 13:00:00","BZN|IE(SEM)","Without sequence","105.0","",""
"09/02/2024 13:00:00 - 09/02/2024 14:00:00","BZN|IE(SEM)","Without sequence","112.0","",""
"09/02/2024 14:00:00 - 09/02/2024 15:00:00","BZN|IE(SEM)","Without sequence","114.82","",""
"09/02/2024 15:00:00 - 09/02/2024 16:00:00","BZN|IE(SEM)","Without sequence","109.0","",""
"09/02/2024 16:00:00 - 09/02/2024 17:00:00","BZN|IE(SEM)","Without sequence","121.28","",""
"09/02/2024 17:00:00 - 09/02/2024 18:00:00","BZN|IE(SEM)","Without sequence","119.0","",""
"09/02/2024 18:00:00 - 09/02/2024 19:00:00","BZN|IE(SEM)","Without sequence","146.7","",""
"09/02/2024 19:00:00 - 09/02/2024 20:00:00","BZN|IE(SEM)","Without sequence","151.5","",""
"09/02/2024 20:00:00 - 09/02/2024 21:00:00","BZN|IE(SEM)","Without sequence","135.0","",""
"09/02/2024 21:00:00 - 09/02/2024 22:00:00","BZN|IE(SEM)","Without sequence","105.44","",""
"09/02/2024 22:00:00 - 09/02/2024 23:00:00","BZN|IE(SEM)","Without sequence","100.76","",""
"09/02/2024 23:00:00 - 10/02/2024 00:00:00","BZN|IE(SEM)","Without sequence","80.3","",""
"10/02/2024 00:00:00 - 10/02/2024 01:00:00","BZN|IE(SEM)","Without sequence","72.33","",""
"10/02/2024 01:00:00 - 10/02/2024 02:00:00","BZN|IE(SEM)","Without sequence","77.76","",""
"10/02/2024 02:00:00 - 10/02/2024 03:00:00","BZN|IE(SEM)","Without sequence","84.13","",""
"10/02/2024 03:00:00 - 10/02/2024 04:00:00","BZN|IE(SEM)","Without sequence","85.04","",""
